,user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
0,a100000029,1/1/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/1/2018,,House Ads,TRUE
1,a100000030,1/1/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/1/2018,,House Ads,TRUE
2,a100000031,1/1/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/1/2018,,House Ads,TRUE
3,a100000032,1/1/2018,House Ads,personalization,TRUE,English,English,30-36 years,1/1/2018,,House Ads,TRUE
4,a100000033,1/1/2018,House Ads,personalization,TRUE,English,English,36-45 years,1/1/2018,,House Ads,TRUE
5,a100000034,1/1/2018,House Ads,personalization,TRUE,German,German,45-55 years,1/1/2018,,House Ads,TRUE
6,a100000035,1/1/2018,House Ads,personalization,TRUE,English,English,55+ years,1/1/2018,,House Ads,TRUE
7,a100000036,1/1/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/1/2018,,House Ads,TRUE
8,a100000037,1/1/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/1/2018,,House Ads,TRUE
9,a100000038,1/1/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/1/2018,,House Ads,TRUE
10,a100000039,1/1/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/1/2018,,House Ads,TRUE
11,a100000040,1/1/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/1/2018,1/18/2018,House Ads,FALSE
12,a100000041,1/1/2018,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,1/1/2018,2/22/2018,House Ads,FALSE
13,a100000042,1/1/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/1/2018,3/9/2018,House Ads,FALSE
14,a100000043,1/1/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/1/2018,2/18/2018,House Ads,FALSE
15,a100000044,1/1/2018,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,1/1/2018,3/3/2018,House Ads,FALSE
16,a100000045,1/2/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/2/2018,2/4/2018,House Ads,FALSE
17,a100000046,1/2/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/2/2018,1/9/2018,House Ads,FALSE
18,a100000047,1/2/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/2/2018,2/4/2018,House Ads,FALSE
19,a100000048,1/2/2018,House Ads,personalization,TRUE,German,German,0-18 years,1/2/2018,1/21/2018,House Ads,FALSE
20,a100000049,1/2/2018,House Ads,personalization,TRUE,German,German,19-24 years,1/2/2018,,House Ads,TRUE
21,a100000050,1/2/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/2/2018,,House Ads,TRUE
22,a100000050,1/1/2018,House Ads,personalization,FALSE,English,English,24-30 years,1/2/2018,,House Ads,TRUE
23,a100000051,1/2/2018,House Ads,personalization,TRUE,English,English,30-36 years,1/2/2018,,House Ads,TRUE
24,a100000051,1/1/2018,Push,personalization,FALSE,English,English,30-36 years,1/2/2018,,House Ads,TRUE
25,a100000052,1/2/2018,House Ads,personalization,TRUE,English,English,36-45 years,1/2/2018,,House Ads,TRUE
26,a100000052,1/1/2018,House Ads,personalization,FALSE,English,English,36-45 years,1/2/2018,,House Ads,TRUE
27,a100000053,1/2/2018,House Ads,personalization,TRUE,English,English,45-55 years,1/2/2018,,House Ads,TRUE
28,a100000053,1/1/2018,House Ads,personalization,FALSE,English,English,45-55 years,1/2/2018,,House Ads,TRUE
29,a100000054,1/2/2018,House Ads,personalization,TRUE,English,English,55+ years,1/2/2018,,House Ads,TRUE
30,a100000054,1/1/2018,House Ads,personalization,FALSE,English,English,55+ years,1/2/2018,,House Ads,TRUE
31,a100000055,1/2/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/2/2018,,House Ads,TRUE
32,a100000055,1/1/2018,Push,personalization,FALSE,English,English,0-18 years,1/2/2018,,House Ads,TRUE
33,a100000056,1/2/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/2/2018,,House Ads,TRUE
34,a100000056,1/1/2018,Facebook,personalization,FALSE,English,English,19-24 years,1/2/2018,,House Ads,TRUE
35,a100000057,1/2/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/2/2018,,House Ads,TRUE
36,a100000057,1/1/2018,Instagram,personalization,FALSE,English,English,24-30 years,1/2/2018,,House Ads,TRUE
37,a100000058,1/2/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/2/2018,,House Ads,TRUE
38,a100000058,1/1/2018,Instagram,personalization,FALSE,English,English,0-18 years,1/2/2018,,House Ads,TRUE
39,a100000059,1/2/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/2/2018,2/19/2018,House Ads,FALSE
40,a100000059,1/1/2018,Facebook,personalization,FALSE,English,English,19-24 years,1/2/2018,2/19/2018,House Ads,FALSE
41,a100000060,1/2/2018,House Ads,personalization,TRUE,German,German,24-30 years,1/2/2018,3/8/2018,House Ads,FALSE
42,a100000060,1/1/2018,House Ads,personalization,FALSE,German,German,24-30 years,1/2/2018,3/8/2018,House Ads,FALSE
43,a100000061,1/2/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/2/2018,2/5/2018,House Ads,FALSE
44,a100000061,1/1/2018,House Ads,personalization,FALSE,English,English,0-18 years,1/2/2018,2/5/2018,House Ads,FALSE
45,a100000062,1/3/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/3/2018,1/11/2018,House Ads,FALSE
46,a100000062,1/1/2018,House Ads,personalization,FALSE,English,English,19-24 years,1/3/2018,1/11/2018,House Ads,FALSE
47,a100000063,1/3/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/3/2018,1/6/2018,House Ads,FALSE
48,a100000063,1/1/2018,House Ads,personalization,FALSE,English,English,24-30 years,1/3/2018,1/6/2018,House Ads,FALSE
49,a100000064,1/3/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/3/2018,3/1/2018,House Ads,FALSE
50,a100000064,1/1/2018,Push,personalization,FALSE,English,English,0-18 years,1/3/2018,3/1/2018,House Ads,FALSE
51,a100000065,1/3/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/3/2018,4/2/2018,House Ads,FALSE
52,a100000065,1/1/2018,House Ads,personalization,FALSE,English,English,19-24 years,1/3/2018,4/2/2018,House Ads,FALSE
53,a100000066,1/3/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/3/2018,3/2/2018,House Ads,FALSE
54,a100000066,1/1/2018,House Ads,personalization,FALSE,English,English,24-30 years,1/3/2018,3/2/2018,House Ads,FALSE
55,a100000067,1/3/2018,House Ads,control,TRUE,English,English,0-18 years,1/3/2018,1/5/2018,House Ads,FALSE
56,a100000068,1/3/2018,House Ads,control,TRUE,English,English,19-24 years,1/3/2018,,House Ads,TRUE
57,a100000069,1/3/2018,House Ads,control,TRUE,English,English,24-30 years,1/3/2018,,House Ads,TRUE
58,a100000070,1/3/2018,House Ads,control,TRUE,Spanish,Spanish,30-36 years,1/3/2018,,House Ads,TRUE
59,a100000071,1/3/2018,House Ads,control,TRUE,English,English,36-45 years,1/3/2018,,House Ads,TRUE
60,a100000072,1/3/2018,House Ads,control,TRUE,German,German,45-55 years,1/3/2018,,House Ads,TRUE
61,a100000073,1/3/2018,House Ads,control,TRUE,English,English,55+ years,1/3/2018,,House Ads,TRUE
62,a100000075,1/3/2018,House Ads,control,TRUE,English,English,0-18 years,1/3/2018,,House Ads,TRUE
